Código Postal,Estado,Municipio,Ciudad,Tipo de Asentamiento,Asentamiento
44828,Jalisco,Guadalajara,Guadalajara,Colonia,Las Piedrotas
44828,Jalisco,Guadalajara,Guadalajara,Condominio,Vistas del Nilo
44829,Jalisco,Guadalajara,Guadalajara,Colonia,Cantarranas
44840,Jalisco,Guadalajara,Guadalajara,Colonia,Ciudad Universitaria
44840,Jalisco,Guadalajara,Guadalajara,Colonia,Lomas Del Paradero
44840,Jalisco,Guadalajara,Guadalajara,Fraccionamiento,Prados Del Nilo
44840,Jalisco,Guadalajara,Guadalajara,Colonia,Sutaj
44840,Jalisco,Guadalajara,Guadalajara,Colonia,Universitaria
44860,Jalisco,Guadalajara,Guadalajara,Colonia,Jardines de La Paz
44860,Jalisco,Guadalajara,Guadalajara,Fraccionamiento,Jardines de La Paz Norte
44860,Jalisco,Guadalajara,Guadalajara,Fraccionamiento,Jardines del Nilo
44860,Jalisco,Guadalajara,Guadalajara,Fraccionamiento,Jardines del Nilo Sur
44860,Jalisco,Guadalajara,Guadalajara,Fraccionamiento,Jardines del Nilo Norte
44860,Jalisco,Guadalajara,Guadalajara,Unidad habitacional,Vicente Guerrero
44860,Jalisco,Guadalajara,Guadalajara,Colonia,La Paz
44870,Jalisco,Guadalajara,Guadalajara,Colonia,Atlas
44870,Jalisco,Guadalajara,Guadalajara,Unidad habitacional,Atlas
44870,Jalisco,Guadalajara,Guadalajara,Fraccionamiento,Atlas 2a. Sección
44870,Jalisco,Guadalajara,Guadalajara,Fraccionamiento,Atlas Poniente
44879,Jalisco,Guadalajara,Guadalajara,Unidad habitacional,Arandas
44890,Jalisco,Guadalajara,Guadalajara,Colonia,Jardines Del Rosario
44890,Jalisco,Guadalajara,Guadalajara,Colonia,Rancho Blanco
44890,Jalisco,Guadalajara,Guadalajara,Unidad habitacional,Reforma
44890,Jalisco,Guadalajara,Guadalajara,Colonia,El Rosario
44890,Jalisco,Guadalajara,Guadalajara,Colonia,Rancho Blanco Álamo
44895,Jalisco,Guadalajara,Guadalajara,Colonia,El Mirador Álamo
44896,Jalisco,Guadalajara,Guadalajara,Colonia,Orozco El Mirador
44897,Jalisco,Guadalajara,Guadalajara,Colonia,Lomas de San Pedro
44898,Jalisco,Guadalajara,Guadalajara,Unidad habitacional,El Rosario
44899,Jalisco,Guadalajara,Guadalajara,Colonia,Bosques Del Boulevard
44900,Jalisco,Guadalajara,Guadalajara,Colonia,Del Fresno 1a. Sección
44900,Jalisco,Guadalajara,Guadalajara,Colonia,Del Fresno 2a. sección
44910,Jalisco,Guadalajara,Guadalajara,Colonia,Morelos
44910,Jalisco,Guadalajara,Guadalajara,Colonia,8 de Julio
44910,Jalisco,Guadalajara,Guadalajara,Colonia,Tepopote
44918,Jalisco,Guadalajara,Guadalajara,Unidad habitacional,Mariano Matamoros
44919,Jalisco,Guadalajara,Guadalajara,Colonia,Tepopote Oeste
44920,Jalisco,Guadalajara,Guadalajara,Fraccionamiento,Colón
44920,Jalisco,Guadalajara,Guadalajara,Colonia,Del Sur
44920,Jalisco,Guadalajara,Guadalajara,Fraccionamiento,Las Torres
44920,Jalisco,Guadalajara,Guadalajara,Fraccionamiento,Villa La Cruz
44929,Jalisco,Guadalajara,Guadalajara,Ampliación,Del Sur
44930,Jalisco,Guadalajara,Guadalajara,Fraccionamiento,Colón Industrial
44940,Jalisco,Guadalajara,Guadalajara,Zona industrial,Bienestar Social
44940,Jalisco,Guadalajara,Guadalajara,Fraccionamiento,Zona Industrial
44948,Jalisco,Guadalajara,Guadalajara,Colonia,Villa Hermosa
44949,Jalisco,Guadalajara,Guadalajara,Colonia,Zona Industrial 2a. Sección
44950,Jalisco,Guadalajara,Guadalajara,Fraccionamiento,Jardines de La Cruz 1a. Sección
44950,Jalisco,Guadalajara,Guadalajara,Fraccionamiento,Jardines de La Cruz 2a. Sección
44950,Jalisco,Guadalajara,Guadalajara,Fraccionamiento,Jardines de San José
44950,Jalisco,Guadalajara,Guadalajara,Fraccionamiento,Residencial La Cruz
44950,Jalisco,Guadalajara,Guadalajara,Colonia,Jardines Del Sur
44956,Jalisco,Guadalajara,Guadalajara,Unidad habitacional,Villas del Sur 1
44956,Jalisco,Guadalajara,Guadalajara,Unidad habitacional,Villas del Sur 2
44959,Jalisco,Guadalajara,Guadalajara,Colonia,Villas Jardín
44960,Jalisco,Guadalajara,Guadalajara,Unidad habitacional,18 de Marzo
44960,Jalisco,Guadalajara,Guadalajara,Colonia,Lomas de Polanco
44960,Jalisco,Guadalajara,Guadalajara,Colonia,López Portillo
44960,Jalisco,Guadalajara,Guadalajara,Colonia,Polanco Oriente
44966,Jalisco,Guadalajara,Guadalajara,Colonia,Patria Nueva
44967,Jalisco,Guadalajara,Guadalajara,Colonia,Patria
44969,Jalisco,Guadalajara,Guadalajara,Colonia,Polanquito
44970,Jalisco,Guadalajara,Guadalajara,Colonia,5 de Mayo
44970,Jalisco,Guadalajara,Guadalajara,Colonia,5 de Mayo 2a Secc
44970,Jalisco,Guadalajara,Guadalajara,Colonia,Echeverría 1a. Sección
44970,Jalisco,Guadalajara,Guadalajara,Colonia,Francisco Villa
44970,Jalisco,Guadalajara,Guadalajara,Unidad habitacional,José Clemente Orozco
44970,Jalisco,Guadalajara,Guadalajara,Colonia,1 de Mayo
44970,Jalisco,Guadalajara,Guadalajara,Colonia,Echeverría 2a. Sección
44970,Jalisco,Guadalajara,Guadalajara,Colonia,Echeverría 3a. Sección
44970,Jalisco,Guadalajara,Guadalajara,Colonia,Zona Industrial 1a. Sección
44970,Jalisco,Guadalajara,Guadalajara,Colonia,Zona Industrial 3a. Sección
44977,Jalisco,Guadalajara,Guadalajara,Colonia,Valentín Gómez Farias
44977,Jalisco,Guadalajara,Guadalajara,Fraccionamiento,El Rocio
44977,Jalisco,Guadalajara,Guadalajara,Colonia,Vistas Del Sur
44978,Jalisco,Guadalajara,Guadalajara,Colonia,Las Palmas
44980,Jalisco,Guadalajara,Guadalajara,Colonia,Arboledas Del Sur
44980,Jalisco,Guadalajara,Guadalajara,Colonia,El Carmen
44980,Jalisco,Guadalajara,Guadalajara,Colonia,Emiliano Zapata
44980,Jalisco,Guadalajara,Guadalajara,Colonia,Lázaro Cárdenas Sur
44980,Jalisco,Guadalajara,Guadalajara,Colonia,Los Colorines
44980,Jalisco,Guadalajara,Guadalajara,Colonia,Nueva España
44980,Jalisco,Guadalajara,Guadalajara,Colonia,Nueva Santa María
44984,Jalisco,Guadalajara,Guadalajara,Colonia,Balcones Del 4
44985,Jalisco,Guadalajara,Guadalajara,Colonia,Revolucionaria
44986,Jalisco,Guadalajara,Guadalajara,Colonia,Loma Linda
44986,Jalisco,Guadalajara,Guadalajara,Colonia,Lomas Del Pedregal
44987,Jalisco,Guadalajara,Guadalajara,Unidad habitacional,El Sauz INFONAVIT
44987,Jalisco,Guadalajara,Guadalajara,Colonia,Villa Vicente Guerrero
44987,Jalisco,Guadalajara,Guadalajara,Colonia,Parques de Colón Sección 2
44987,Jalisco,Guadalajara,Guadalajara,Colonia,Jardines El Sauz
44989,Jalisco,Guadalajara,Guadalajara,Unidad habitacional,Colón C.R.O.C.
44990,Jalisco,Guadalajara,Guadalajara,Unidad habitacional,Miravalle
44990,Jalisco,Guadalajara,Guadalajara,Colonia,Terralta
